Country,WB_WDI_CC_PER_RANK,WB_WDI_PV_PER_RNK,Country_fi
San Marino,87.74,93.36,San Marino
São Tomé and Príncipe,63.21,60.19,São Tomé ja Príncipe
Saudi Arabia,66.51,39.81,Saudi-Arabia
Senegal,56.6,41.23,Senegal
Serbia,38.21,44.55,Serbia
Seychelles,93.87,73.93,Seychellit
Sierra Leone,31.13,37.44,Sierra Leone
Singapore,98.11,97.16,Singapore
Slovak Republic,61.32,64.45,Slovakia
Slovenia,77.36,75.83,Slovenia
Solomon Islands,50.47,60.66,Salomonsaaret
"Somalia, Federal Republic of",0.94,2.84,Somalia
South Africa,45.75,20.85,Etelä-Afrikka
South Sudan,0,3.79,Etelä-Sudan
Spain,71.7,54.98,Espanja
Sri Lanka,40.09,25.59,Sri Lanka
St. Kitts and Nevis,64.62,80.57,Saint Kitts ja Nevis
St. Lucia,66.98,86.26,Saint Lucia
St. Vincent and the Grenadines,76.42,86.26,Saint Vincent ja Grenadiinit 
Sudan,4.25,1.9,Sudan
Suriname,39.15,59.72,Suriname
Sweden,97.64,73.46,Ruotsi
Switzerland,97.17,88.63,Sveitsi
Syrian Arab Republic,0.47,0,Syyria
Tajikistan,7.55,27.49,Tadžikistan
Tanzania,43.87,44.08,Tansania
Thailand,35.85,36.02,Thaimaa
Timor-Leste,47.64,54.5,Itä-Timor
Togo,28.77,14.22,Togo
Tonga,45.28,90.05,Tonga
Trinidad and Tobago,41.04,57.82,Trinidad ja Tobago
Tunisia,42.92,22.27,Tunisia
Türkiye,34.91,13.74,Turkki
Turkmenistan,6.6,43.13,Turkmenistan
Tuvalu,72.17,94.31,Tuvalu
Uganda,16.51,19.43,Uganda
Ukraine,25.94,10.9,Ukraina
United Arab Emirates,82.55,70.14,Yhdistyneet arabiemiirikunnat
United Kingdom,90.57,62.09,Yhdistynyt kuningaskunta
United States,83.02,47.39,Yhdysvallat
Uruguay,92.45,81.99,Uruguay
Uzbekistan,23.11,40.76,Uzbekistan
Vanuatu,53.77,81.04,Vanuatu
"Venezuela, RB",1.42,12.32,Venezuela
Vietnam,38.68,45.02,Vietnam
Virgin Islands (U.S.),53.3,63.03,Neitsytsaaret
West Bank and Gaza,26.42,7.11,Länsiranta ja Gaza
"Yemen, Rep.",1.89,0.95,Jemen
Zambia,36.79,52.13,Sambia
Zimbabwe,9.91,15.17,Zimbabwe
